vuln_id,asset_id,cve_id,severity,cvss_score,cwe_type,discovery_date,status,patch_due_days,exploit_available
VULN-00001,AST-0362,CVE-2023-3293,High,7.8,CWE-20,2025-12-19,Closed,7,No
VULN-00002,AST-0307,CVE-2023-3079,Critical,9.5,CWE-79,2025-05-28,In Progress,14,Yes
VULN-00003,AST-0116,CVE-2023-3281,Low,1.9,CWE-20,2025-04-24,Closed,30,Yes
VULN-00004,AST-0213,CVE-2023-2599,Low,0.1,CWE-20,2026-01-27,Closed,90,Yes
VULN-00005,AST-0470,CVE-2023-7870,Low,1.5,CWE-119,2025-07-30,In Progress,90,Yes
VULN-00006,AST-0198,CVE-2023-8492,High,7.0,CWE-79,2025-07-19,In Progress,90,No
VULN-00007,AST-0431,CVE-2023-9123,Critical,10.0,CWE-287,2025-07-10,Risk Accepted,30,Yes
VULN-00008,AST-0276,CVE-2023-4798,High,8.0,CWE-119,2025-06-08,Risk Accepted,7,Yes
VULN-00009,AST-0131,CVE-2023-2262,Medium,4.3,CWE-89,2026-01-26,Risk Accepted,30,No
VULN-00010,AST-0113,CVE-2023-3174,Critical,9.6,CWE-89,2025-05-24,Risk Accepted,7,Yes
VULN-00011,AST-0460,CVE-2023-1725,Low,2.6,CWE-89,2026-01-02,Closed,30,No
VULN-00012,AST-0177,CVE-2023-5537,Low,2.8,CWE-20,2026-01-27,Closed,60,No
VULN-00013,AST-0403,CVE-2023-8178,High,7.1,CWE-89,2026-03-27,Open,14,Yes
VULN-00014,AST-0431,CVE-2023-2931,High,7.9,CWE-119,2025-11-12,Open,90,No
VULN-00015,AST-0060,CVE-2023-3719,High,7.9,CWE-20,2025-05-18,Open,7,Yes
VULN-00016,AST-0381,CVE-2023-9691,Medium,6.4,CWE-200,2025-11-30,Open,14,No
VULN-00017,AST-0071,CVE-2023-1478,High,7.2,CWE-20,2025-09-25,Risk Accepted,90,Yes
VULN-00018,AST-0201,CVE-2023-7815,Medium,4.8,CWE-79,2025-04-27,Risk Accepted,60,Yes
VULN-00019,AST-0102,CVE-2023-5295,Critical,9.5,CWE-89,2025-04-26,Open,7,Yes
VULN-00020,AST-0067,CVE-2023-7590,High,7.2,CWE-119,2025-05-21,Closed,7,No
VULN-00021,AST-0320,CVE-2023-9939,Critical,9.0,CWE-89,2025-07-08,Risk Accepted,14,Yes
VULN-00022,AST-0464,CVE-2023-2685,Medium,4.4,CWE-119,2025-07-14,Open,14,No
